"zip","city","state","name","address","postalCode","lat","lon"
"46001","Alexandria","IN","Beulah Park","not_available","not_available",40.25627465485407,-85.6699274286488
"46001","Alexandria","IN","Beulah Park","SR 9 & 4th St","46001",40.24884506191309,-85.70448968166002
"46001","Alexandria","IN","Harrison Square Park","not_available","46001",40.2635624813657,-85.67436088535827
"46011","Anderson","IN","Jefferson Parker","not_available","46011",40.12186523991024,-85.76269191055586
"46011","Anderson","IN","Edgewood Park","526-598 Winding Way","46011",40.10841792860501,-85.74137928763504
"46011","Anderson","IN","meadowbrook park Legit","North Parkway Drive","46013",40.07736556344895,-85.68588914995482
"46011","Anderson","IN","Circle Park","Ringwood Way","46013",40.07822740512304,-85.68294167518616
"46011","Anderson","IN","Jackson Park","2200 Raible Avenue","46011",40.09487391498709,-85.70927023887634
"46011","Anderson","IN","Frisbee Golf","1375-1499 Vine st.","46051",40.073802067196155,-85.85196493502951
"46012","Anderson","IN","Shadyside Park","not_available","46012",40.12514432985933,-85.67553438551795
"46012","Anderson","IN","Daleville Town Hall Park","not_available","47334",40.120438,-85.56076
"46012","Anderson","IN","Athletic Park","Anderson,IN,46012","46012",40.11258987051134,-85.67205598078183
"46013","Anderson","IN","Falls Park","not_available","46064",40.00836190944044,-85.7292259103922
"46013","Anderson","IN","Pulaski Park","East 38th Street & Forest Terrace","not_available",40.075510921744986,-85.66123497495786
"46030","Arcadia","IN","Arcadia Ballpark","not_available","46030",40.171757376718865,-86.02338485198189
"46030","Arcadia","IN","Rookery","not_available","46034",40.132392,-86.036211
"46030","Arcadia","IN","Atlanta Water Tower","not_available","46031",40.20505833799923,-85.98634109300048
"46030","Arcadia","IN","Lafayette Trace Park","15796 E. Strawtown Ave.","46060",40.13393781576883,-85.88423609733582
"46032","Carmel","IN","Cool Creek Park & Nature Center","not_available","46033",40.010984,-86.124864
"46032","Carmel","IN","Coxhall Gardens","2000 W 116th St","46033",39.95901971883668,-86.1975549695874
"46032","Carmel","IN","Central Park","1235 Central Park Dr E","46032",39.951406574509896,-86.13273739814758
"46032","Carmel","IN","Long Ridge Estates Park","Long Ridge Blvd","46074",39.98694545021885,-86.22977666780093
"46032","Carmel","IN","Meadowlark Park","450 meadow lane","46032",39.98204846639584,-86.13214379366003
"46032","Carmel","IN","Ponds Pointe Common Area","not_available","46032",39.993458,-86.17015
"46032","Carmel","IN","West Park","2700 W 116th St","46032",39.957188231806086,-86.21015667915344
"46032","Carmel","IN","Centennial Central Park","not_available","46074",40.01008719943357,-86.17349454192453
"46032","Carmel","IN","Parkwood Crossing","250-900 E 96th St","46240",39.928360245629236,-86.14916697996078
"46032","Carmel","IN","Cool Creek Park Pavillion","2000 W 151st St","46033",40.00962567039623,-86.12390777749638
"46032","Carmel","IN","Cool creek park bon fire","160th","not_available",40.00129208798189,-86.12264984223874
"46032","Carmel","IN","Pleasant Grove Park","W 111th St","46280",39.94658121579909,-86.15261312678084
"46032","Carmel","IN","Monon Trail Rest & Park","E 96th Street","46240",39.92753747730076,-86.13631053717239
"46032","Carmel","IN","Lenape Trace Park","not_available","46280",39.928442356446396,-86.12728366470606
