"zip","city","state","name","address","postalCode","lat","lon"
"66002","Atchison","KS","Independence Park","not_available","not_available",39.565425,-95.112963
"66002","Atchison","KS","International Forest Of Friendship","Allingham Drive","66002",39.56790066393993,-95.14876318096806
"66006","Baldwin City","KS","Wells Overlook County Park","not_available","66046",38.88233154729305,-95.24821547977722
"66006","Baldwin City","KS","West Park","1000 High St","66006",38.77458953857422,-95.19390869140625
"66006","Baldwin City","KS","Wells Overlook Park","not_available","66047",38.88223182796932,-95.24916588525112
"66006","Baldwin City","KS","Firetree Park","Left hand side of the street","66006",38.78678,-95.18923
"66012","Bonner Springs","KS","De Soto Riverfront Park","not_available","66018",38.983832524736705,-94.97370787233375
"66012","Bonner Springs","KS","A Bench on the Path","not_available","66218",39.01499938964844,-94.83557891845703
"66012","Bonner Springs","KS","Wyandotte County Park","976-1098 N 126th St","66012",39.10613422123925,-94.86674835648753
"66012","Bonner Springs","KS","Wyandotte County Park Shelter A","not_available","66012",39.111477,-94.866347
"66012","Bonner Springs","KS","Kelly Murphy Park","Elm + Second Street","not_available",39.055350984188955,-94.88312244415283
"66012","Bonner Springs","KS","Shawnee Riverfront Park","5500 Frisbie Rd","66226",39.032989501953125,-94.88621520996094
"66012","Bonner Springs","KS","Monticello Springs Park","not_available","66227",38.98376552178793,-94.84469860096453
"66013","Bucyrus","KS","Stillwell Community Park","not_available","66013",38.754172,-94.660315
"66018","De Soto","KS","Sunflower Nature Park","103rd and Edgerton Rd","66018",38.941777433037004,-95.0124841274521
"66018","De Soto","KS","Lexington Lake Park","9000 Sunflower Road","66018",38.96809,-95.00694
"66020","Easton","KS","Easton Veterans Memorial","213 S 1st Street","66020",39.34327150362051,-95.11407136917114
"66021","Edgerton","KS","Celebration Park","32701 W. 159th St.","not_available",38.83864509699168,-94.96191989601338
"66021","Edgerton","KS","Martin Creek Park","20200 Sunflower Rd","66021",38.76140594482422,-95.00314331054688
"66021","Edgerton","KS","Big Bull Creek Park","not_available","66021",38.758257,-94.99886
"66021","Edgerton","KS","Kade Meyer Celebration Park Bench","not_available","66030",38.8390007019043,-94.9616470336914
"66021","Edgerton","KS","Wellsville City Park","not_available","66092",38.719110876561366,-95.07977912886965
"66021","Edgerton","KS","Westside Park and Sports Complex","321 Bedford St.","66030",38.805979739206236,-94.93979809768781
"66023","Effingham","KS","Lancaster Saddle Club","not_available","66041",39.575559,-95.303506
"66024","Elwood","KS","St. Joseph Riverwalk","not_available","64501",39.76652678698656,-94.86037662547128
"66025","Eudora","KS","CPA Park","911 Main St","66025",38.94276809692383,-95.09922790527344
"66025","Eudora","KS","Lucy Kaegi Park","not_available","66025",38.93109248230189,-95.09684050903516
"66025","Eudora","KS","East Side Park","14th Street","66025",38.935383,-95.089378
"66027","Fort Leavenworth","KS","Hill Top Park","not_available","66027",39.34083584634548,-94.93013571581474
"66030","Gardner","KS","Winwood Park","N White Dr/E Colleen Dr","66030",38.820653219818,-94.91577483882652
"66030","Gardner","KS","J, R, D & C","824 S Sumac St","66030",38.797359466552734,-94.91224670410156
"66032","Garnett","KS","Westphalia City Park","not_available","66093",38.18066342726413,-95.48992963309902
"66033","Greeley","KS","Heritage Park","not_available","66072",38.33076698653327,-94.98912276269688
"66035","Highland","KS","highland community park","Main St","66035",39.8612310665999,-95.27246642030764
