"zip","city","state","name","address","postalCode","lat","lon"
"70001","Metairie","LA","Wally Pontiff Jr Playground","1521 Palm St","70001",29.981163443728992,-90.13758659362793
"70001","Metairie","LA","Metaire Park","not_available","not_available",29.97888465451673,-90.13817074575715
"70001","Metairie","LA","Bleachers At Pontiff!","not_available","70001",29.981554,-90.136396
"70001","Metairie","LA","Touchdown","not_available","70005",29.983288,-90.138347
"70001","Metairie","LA","Metairie Club Estates","1221 Airline Dr","70001",29.973522999999997,-90.137043
"70003","Metairie","LA","Lafreniere Park","3000 Downs Blvd","70003",29.998660422805408,-90.21259875143528
"70003","Metairie","LA","LaSalle Park","6600 Airline Dr","70003",29.976163359266092,-90.20782349227174
"70003","Metairie","LA","Park-A-Boo","not_available","70003",30.000166,-90.213117
"70003","Metairie","LA","Comet's Park","Williams blvd","70065",30.018212779066985,-90.23714359854404
"70003","Metairie","LA","At The Park","By Rouse's","not_available",30.010938,-90.220776
"70005","Metairie","LA","Riding Bikes","1103 Helios Ave","70005",30.009342193603516,-90.1433334350586
"70031","Ama","LA","Ama Park","not_available","70031",29.95212878713964,-90.29087657935582
"70037","Belle Chasse","LA","Forest Isle Dog Park","not_available","70131",29.901515881994374,-89.99902782403687
"70037","Belle Chasse","LA","Tha Boondocks","809-849 Walker Rd","70037",29.79590955,-90.04312527
"70037","Belle Chasse","LA","Oakdale Playground","650 Wall Blvd","70056",29.871281416394215,-90.02863689713965
"70037","Belle Chasse","LA","Outside W/c 130","Blosk Ave","70037",29.82136845588684,-90.02394139766693
"70037","Belle Chasse","LA","Bellevue Park","not_available","70053",29.897158,-90.046364
"70037","Belle Chasse","LA","The Park","Manhattan Blvd.","70058",29.84708820909541,-90.0435444721996
"70037","Belle Chasse","LA","Belle Chasse Park","not_available","70037",29.890550567701794,-89.97686862945557
"70037","Belle Chasse","LA","Tree High","601-699 Taylorbrook Dr","70056",29.870046866666666,-90.02882946666666
"70040","Braithwaite","LA","Braithwaite Park","not_available","70040",29.857887,-89.915024
"70041","Buras","LA","Roger Halphen Park","Cazezu Dr","70050",29.356070023052368,-89.53280210494995
"70043","Chalmette","LA","Sidney D. Torres Memorial Park","W. Judge Perez Dr.","70043",29.95738857388203,-89.98077392578125
"70043","Chalmette","LA","Val Reiss Park","1101 Magistrate St","70043",29.95171819891331,-89.94500398635864
"70047","Destrehan","LA","Ormond 9.11k Fun Run","not_available","70047",29.945928200585616,-90.36831225052691
"70047","Destrehan","LA","Imtt Field","River Rd","70087",29.94247890413445,-90.3267519546977
"70047","Destrehan","LA","St Charles parish park","13755 River Rd","70070",29.938022688835357,-90.37395038093706
"70053","Gretna","LA","Annunciation Square","800 Race St","70130",29.934129268970114,-90.0684602490429
"70053","Gretna","LA","Boettner Park","not_available","70130",29.92732644073059,-90.07137597773267
"70056","Gretna","LA","Cross Country Camp","Audbon Park Shelter 10","not_available",29.928695,-90.00807
"70057","Hahnville","LA","Norco Park","515-539 Good Hope St","70079",30.007298178440553,-90.40832346120244
"70057","Hahnville","LA","Bethune Park","not_available","70079",30.0027,-90.42
"70057","Hahnville","LA","Bonnet Carre Spillway locks (between the Mississippi River & Lake Ponchatrain)","PO Box 216","70079",30.001651599168277,-90.43024719268928
"70057","Hahnville","LA","St. Charles Parish Parks & Rec Dept.","171 Keller St","70057",29.9652099609375,-90.40780639648438
"70058","Harvey","LA","Lyons Center Field","624 Louisiana Ave","70115",29.918729782104492,-90.08715057373047
"70062","Kenner","LA","Kenner Park","not_available","70062",29.99073810158726,-90.24279307678147
"70062","Kenner","LA","Kenner Heritage Park","Williams","70062",29.97419355153128,-90.24251356180925
"70062","Kenner","LA","Kenner Lions Hall","2001 18th St","70062",29.989410400390625,-90.24259185791016
"70065","Kenner","LA","Kenner City Park","3800 Loyola Dr","70065",30.033946533704295,-90.26774672807294
"70065","Kenner","LA","City of Kenner Greenlawn Playground","3323 Arkansas Avenue","70065",30.01740074157715,-90.24561309814453
"70067","Lafitte","LA","Rosethorn Park","Jean Lafitte, LA","70067",29.753521733333333,-90.103132
"70068","La Place","LA","Bonnet Carre Spillway","ATV Trails","not_available",30.035067992690504,-90.40889739990234
"70068","La Place","LA","Ruddock Park","Old US 51","not_available",30.201395,-90.42831
"70070","Luling","LA","Westbank Bridge Park","not_available","70070",29.93738091240538,-90.37669066186575
