"zip","city","state","name","address","postalCode","lat","lon"
"48001","Algonac","MI","Dad's Bench","not_available","not_available",42.61843253127223,-82.53098905576279
"48001","Algonac","MI","Clay Township Park","not_available","48001",42.62236404418945,-82.57222747802734
"48003","Almont","MI","Dryden Memorial Park","not_available","48003",42.97445544923286,-83.0820031427244
"48005","Armada","MI","Armada Village Park","Fulton St","48005",42.846117766990226,-82.8846420714278
"48006","Avoca","MI","Kenockee Township Park","not_available","48006",43.029083,-82.69272
"48009","Birmingham","MI","Shain Park","Merrill","not_available",42.54556976698093,-83.21650500718789
"48009","Birmingham","MI","Manor Park Nature Preserve","not_available","48084",42.5655,-83.20259
"48009","Birmingham","MI","Bham Bench","298 Townsend St.","48009",42.54484439315594,-83.21622133255005
"48009","Birmingham","MI","Booth Park","359-399 Harmon St","48009",42.550257888482264,-83.21833688873824
"48009","Birmingham","MI","Howarth Park","Emmons","48009",42.53408121108321,-83.20704471797734
"48009","Birmingham","MI","St James Park","not_available","48009",42.53712919392327,-83.21009936434754
"48009","Birmingham","MI","Baldwin Park","Maple","49009",42.54594909726489,-83.22016809784681
"48009","Birmingham","MI","Linn Smith Park","Southfield Rd","not_available",42.537065,-83.220227
"48009","Birmingham","MI","Park","898 Emmons Ave","48009",42.534857,-83.20721800000001
"48009","Birmingham","MI","Birm Park","201-299 Martin St","48009",42.5455847,-83.21654736666666
"48015","Center Line","MI","Center Line Memorial Park","Lawrence Ave","not_available",42.48138834699602,-83.03468749752889
"48015","Center Line","MI","Lions Community Park","not_available","48015",42.47319617604822,-83.01892029443849
"48017","Clawson","MI","Clawson Park","1098 N Bywood Ave.","48083",42.54144538620973,-83.15161228179932
"48017","Clawson","MI","Grant Park","not_available","48017",42.536294219500185,-83.13100766200567
"48017","Clawson","MI","City Of Troy Park","not_available","48083",42.53374377931556,-83.12955178133242
"48017","Clawson","MI","Marlboro Country","809 Coolidge Ave","48017",42.535144,-83.134158
"48021","Eastpointe","MI","Spindler Park","19400 Stephens Dr","48021",42.471593347076166,-82.91914205953827
"48021","Eastpointe","MI","Roxana Park","Roxana Avenue","48021",42.47028918276694,-82.92982738580962
