"zip","city","state","name","address","postalCode","lat","lon"
"55001","Afton","MN","scenic river","not_available","not_available",44.90070079894219,-92.77869851278827
"55001","Afton","MN","Cully Park","T","not_available",44.94569729459365,-92.77596114515089
"55001","Afton","MN","Steamboat Park","not_available","55001",44.89924346680841,-92.78359019069153
"55003","Bayport","MN","Lakeside Park","2 Central Avenue","55003",45.016574718797436,-92.77348604537329
"55003","Bayport","MN","El Winter Wonderland","not_available","55003",45.021148681640625,-92.79125213623047
"55003","Bayport","MN","Ferry Park","715 Galahad Rd N","54016",45.00263214111328,-92.7628173828125
"55003","Bayport","MN","Glen Oaks Park","525-587 4th St N","54016",44.996862852641826,-92.77794890152735
"55005","Bethel","MN","Booster Park","22269 Palisade St Ne","55005",45.373146848362786,-93.21309328079224
"55005","Bethel","MN","highland woods park","3060 233rd Ln NW","55070",45.392115,-93.343673
"55005","Bethel","MN","Cedar Creek Science Reserve","not_available","55005",45.385341580471014,-93.20777249232414
"55006","Braham","MN","Dennis Frandsen Park","1435 N Lake Dr","55006",45.7159423828125,-93.08076477050781
"55006","Braham","MN","Vegsund Family County Park","40097 Polk Street NE","not_available",45.69099044799805,-93.24258422851562
"55006","Braham","MN","Freedom Park","Main Ave","55006",45.7236328125,-93.17108917236328
"55008","Cambridge","MN","Isanti County Park","not_available","55008",45.588054,-93.352767
"55008","Cambridge","MN","Lorn Erickson Park","763-1299 24th Ave SW","55008",45.55099546909332,-93.2356345653534
"55008","Cambridge","MN","Mattson Park","Main St.","not_available",45.49252195136038,-93.2542365050597
"55009","Cannon Falls","MN","Lake Byllesby Goodhue County Park","not_available","55009",44.509118,-92.940468
"55009","Cannon Falls","MN","Hannah's Bend Park","N 9th St","55009",44.51509006155422,-92.91293618729827
"55013","Chisago City","MN","Ojiketa Regional Park","not_available","55013",45.34400904808668,-92.88604300021356
"55013","Chisago City","MN","Paradise Park","11031 Stinson Ave","55013",45.37333679199219,-92.88294982910156
"55013","Chisago City","MN","Memorial Park","30525 Linden Ave","55045",45.38935852050781,-92.84954071044922
"55013","Chisago City","MN","Camp Ojekita","not_available","55113",45.31708860239334,-92.94479056393243
"55013","Chisago City","MN","Pumphouse Park","not_available","55045",45.394859,-92.836844
"55014","Circle Pines","MN","Marshan Park","not_available","55014",45.16680048430093,-93.12095854420089
"55014","Circle Pines","MN","Lochness Park","Lexington Ave","55449",45.17226775951732,-93.15689527775693
"55014","Circle Pines","MN","Grove Park","Painted Turtle Road","55014",45.13534324277047,-93.11363697052002
"55014","Circle Pines","MN","City Hall Park","Main Street","55038",45.19683923206181,-93.08275810820582
"55014","Circle Pines","MN","Blaine Open Space","Leyete Street NE","55449",45.182823309879616,-93.17839622497559
"55014","Circle Pines","MN","Wargo Nature Preserve","7701 Main St","55038",45.18605041503906,-93.0740966796875
"55014","Circle Pines","MN","East Lake Park","North Lake Blvd","not_available",45.19144652932996,-93.18540726995712
"55014","Circle Pines","MN","Golden Lake","51 W Golden Lake Rd","55014",45.13723437314652,-93.15390475833827
"55016","Cottage Grove","MN","Kingston Park","9195 75th St","55016",44.84077753254488,-92.91601181030273
