"zip","city","state","name","address","postalCode","lat","lon"
"38603","Ashland","MS","Benton County Fairgrounds","not_available","38603",34.846617,-89.182709
"38606","Batesville","MS","Batesville Square","not_available","38606",34.31687227008236,-89.95291329713272
"38611","Byhalia","MS","Plantation Lakes","not_available","not_available",34.986380890177344,-89.81758129026211
"38611","Byhalia","MS","Southridge Park","not_available","38654",34.94258083207973,-89.81642373524377
"38611","Byhalia","MS","Pratt Park, Prattville, AL","not_available","38016",34.930873223088874,-89.7618209542919
"38614","Clarksdale","MS","Nassef Park","not_available","38614",34.20001220703125,-90.60887908935547
"38617","Coahoma","MS","The Devils Crossroads","US 49","not_available",34.423051182976586,-90.4677662535468
"38618","Coldwater","MS","Plantation Point","7000-8998 Cub Lake Rd","38632",34.786846,-90.162891
"38618","Coldwater","MS","Norfleet Drive Park","407 Norfleet Dr","38668",34.6271518451581,-89.95570063591003
"38619","Como","MS","Como Community Park","not_available","38619",34.513402,-89.943541
"38626","Dundee","MS","Fort Curtis","not_available","72342",34.52723617444894,-90.5896750401211
"38629","Falkner","MS","Walnut Track","not_available","38683",34.94877744199292,-88.90748531679165
"38632","Hernando","MS","Lee's Summit Park","not_available","38632",34.820455,-89.966253
"38637","Horn Lake","MS","Jim Saucier Memorial Park","Northwest Dr.","not_available",34.98439553382058,-90.00295758640125
"38637","Horn Lake","MS","Latimer park","Tulane rd","38637",34.96487966141314,-90.04126065922794
"38637","Horn Lake","MS","ballard park tupelo,ms","not_available","38637",34.942035960120826,-90.04963530552394
"38637","Horn Lake","MS","Maxey Park","Tulane Rd E","not_available",34.959369,-90.043833
"38637","Horn Lake","MS","Brookhaven Park","not_available","38671",34.9784912010082,-90.01903611389072
"38643","Lambert","MS","Tennis Court","not_available","38646",34.2546167,-90.2823645
"38651","Nesbit","MS","Oakachobee Park","not_available","38651",34.89312400288256,-89.90969181521753
"38651","Nesbit","MS","Central Park","Airways rd","38671",34.922304,-89.992735
"38652","New Albany","MS","Hacienda","Moss Hill Dr.","not_available",34.509191,-89.025408
"38652","New Albany","MS","BNA Park","not_available","38652",34.4839848314576,-89.0241711083183
"38654","Olive Branch","MS","Snowden Grove Park","not_available","38672",34.952816793661505,-89.93287552720619
"38654","Olive Branch","MS","Olive Bark Dog Park","8820-8840 City Park Dr.","38654",34.960297,-89.84118
"38654","Olive Branch","MS","Snowden Grove House","6135-6241 Snowden Ln","38672",34.95056740644632,-89.93447656207975
"38655","Oxford","MS","Stone Park","not_available","38655",34.37549844428534,-89.52632510809273
"38655","Oxford","MS","Touch Of Grove Tent","not_available","38677",34.365543,-89.531248
"38668","Senatobia","MS","Railroad Park","Park Street","38668",34.6166192081291,-89.96308778191126
"38668","Senatobia","MS","Sycamore Park","Senatobia,MS,38668","38668",34.6176032,-89.9687011
"38671","Southaven","MS","Greenbrook Lake Park","295 Stateline Rd","38671",34.99101322989601,-89.98361605001053
"38671","Southaven","MS","Southaven Soccer Complex","Southaven, MS 38671","38671",34.99302324021393,-90.07744841731966
"38671","Southaven","MS","Stateline Park","Stateline Road","38671",34.99159414739468,-89.98261776932479
"38671","Southaven","MS","Vicksburg Street","Southaven Cir W, Southaven, MS 38671","38671",34.992963155477156,-90.01458701480281
"38671","Southaven","MS","Davis Memorial Park","Southcrest Court","38671",34.969892,-89.99463
"38671","Southaven","MS","Central Park","7505 Stonegate Blvd","38671",34.970234332298475,-89.9656891822815
"38676","Tunica","MS","Slackers And Pearls","4500 Edwards","38676",34.684999999999995,-90.37826388888888
"38701","Greenville","MS","Hardy Park","not_available","38701",33.39024,-91.044543
