"zip","city","state","name","address","postalCode","lat","lon"
"10001","New York","NY","High Line","btwn Gansevoort & W 34th St","10011",40.746825,-74.005507
"10001","New York","NY","Pier 63 Hudson River Park","205 12th Ave","10001",40.749500287685564,-74.00859475135803
"10001","New York","NY","Greeley Square","968 Avenue of the Americas","10018",40.74857868650776,-73.98840330561364
"10001","New York","NY","Chelsea Park","10 Avenue A","10009",40.75031094028699,-74.0014496409983
"10001","New York","NY","Bella Abzug Park","Hudson Blvd","10001",40.75557964275589,-74.00034427642822
"10001","New York","NY","The Spur on the High Line","30th St","10001",40.752051,-74.000987
"10001","New York","NY","Pier 66 - Hudson River Park","West Side Hwy","not_available",40.751665176218985,-74.00810139212179
"10001","New York","NY","Chelsea Waterside Park Dog Run","599 W 22nd St","10011",40.74857156408643,-74.0074407392905
"10001","New York","NY","Chelsea Waterside Park","23rd st & 11th Ave","10001",40.749043241073615,-74.00779731217091
"10001","New York","NY","Clement Clarke Moore Park","W 22 St","10011",40.74676258499095,-74.00441564464096
"10001","New York","NY","Fever-Tree Porch At Bryant Park","41 W 40th St","10018",40.753828,-73.984329
"10001","New York","NY","Pinwheel Park","W 24th St","10011",40.746794868024864,-73.99905264297757
"10001","New York","NY","ZogSports - Chelsea Park","w 29th street and 9th avenue","10001",40.74984989725853,-74.00002735586894
"10001","New York","NY","Sandbox Park","not_available","10001",40.74807702076022,-73.99749851327998
"10001","New York","NY","14th Street Union Square NYC","not_available","not_available",40.74787345208075,-73.98484232195737
"10001","New York","NY","NYC Social Sports Club - Chelsea Fields","West 27th Street","not_available",40.750323967631125,-74.00133576055006
"10001","New York","NY","Merchants Refrigerating Company Warehouse","not_available","10011",40.74373100000001,-74.006889
"10001","New York","NY","Meyers Park","218 West 31st Street","10001",40.74928665161133,-73.9933853149414
"10001","New York","NY","Pier 61","Hudson River Park","10009",40.759418978986595,-74.00337295179452
"10001","New York","NY","Hidden Barricade- NYC","W 30TH Street","10001",40.75249126980499,-74.00208234786987
"10001","New York","NY","The Elliot Chelsea Rooftop Lounge","401 W 25th St","10001",40.748680114746094,-74.00151824951172
"10001","New York","NY","West Side to Palisades Bike Ride","West Side Bike Path","10019",40.75380276375678,-74.00693654968661
"10001","New York","NY","Penn Plaza Park","1 Penn Plz","10119",40.7517373373995,-73.99331480737901
"10001","New York","NY","Secret Garden Park","447 W 17th St","10011",40.743782,-74.00572
"10001","New York","NY","Lazer Park","1560 Broadway","10036",40.75968990786558,-73.9937606621895
"10002","New York","NY","East River Park","East River Park","10019",40.71957510354355,-73.97478717149215
"10002","New York","NY","East River Running Path","FDR Dr","10019",40.722409,-73.974076
"10002","New York","NY","Sara Delano Roosevelt Park","Chrystie St","10002",40.719724176277495,-73.99238907827885
"10002","New York","NY","East River Waterfront Esplanade","not_available","10002",40.709483,-73.988387
"10002","New York","NY","Seward Park","192 E Broadway","10002",40.71483145632512,-73.98954831890319
"10002","New York","NY","Corlears Hook Park","Cherry St","10002",40.7120984980852,-73.97978611625746
"10002","New York","NY","Sara D. Roosevelt Park Ping Pong Table","Houston","10002",40.722698,-73.99108
"10002","New York","NY","Hillman Park","550 Grand St","10002",40.71473616179676,-73.9803900226855
"10002","New York","NY","Seward Park Co-op Bldg 1&2 Playground","264 E Broadway","10002",40.715142231382366,-73.9857598257173
"10002","New York","NY","East River Esplanade - Market St","South St","10002",40.709115435048915,-73.99636607071363
"10002","New York","NY","East River Esplanade - Delancey St","FDR Dr","10002",40.71441935976743,-73.97646725177765
"10002","New York","NY","Allen Mall Four","Allen St.","not_available",40.71401457120756,-73.99267487354545
"10002","New York","NY","Ahearn Park","E Broadway","10002",40.714769040784496,-73.98334980010986
"10002","New York","NY","The Lions Playground","Grand St","not_available",40.71819063253816,-73.99341441943564
"10002","New York","NY","Alfred E Smith Playground","madison and catherine","10038",40.71117770506165,-73.99712932245086
"10002","New York","NY","Green Thumb Garden","22 Prince St","10012",40.722645,-73.994529
"10002","New York","NY","Sacred Warrior Community Boxing Class W, F 7am, 840am","Tompkins Sq Park","not_available",40.723623640214676,-73.98729289817663
"10002","New York","NY","Martin Luther King Jr. Community Park","Henry St.","not_available",40.713902,-73.98482
"10002","New York","NY","Peretz Square","E Houston Street","not_available",40.72278930527362,-73.98790697209414
"10002","New York","NY","East River Esplanade - Catherine St","South St","not_available",40.70901533474947,-73.99618148803711
"10002","New York","NY","de_passa","45 Clinton St","10002",40.719889,-73.984656
"10003","New York","NY","Washington Square Park","W 4th St","10012",40.73081579656163,-73.9974582195282
"10003","New York","NY","Union Square Park","btwn Broadway & Union Sq E","10003",40.73532302805225,-73.9902427306349
"10003","New York","NY","Tompkins Square Park","E 7th St to E 10th St","10009",40.72622630237012,-73.98223675697439
"10003","New York","NY","Gramercy Park","btwn Gramercy Park N & S","10003",40.7378764441416,-73.98590326309204
"10003","New York","NY","Stuyvesant Square Park","300 E 17th St.","10003",40.73371412655719,-73.98420810699463
"10003","New York","NY","Fitness Playground","14th St and 1st Ave","10009",40.731471895319224,-73.98082852363585
"10003","New York","NY","Union Square Dog Run","Union Square Park","10003",40.735582766492634,-73.99096054924479
"10003","New York","NY","Abe Lebewohl Park","E 10th St and 2nd Ave","not_available",40.730007785276214,-73.98678020043161
"10003","New York","NY","Sasaki Garden","Washington Square Village","10012",40.728148366596216,-73.99729697505936
"10003","New York","NY","Tompkins Square Park Playground","Ave A","10009",40.72673938353699,-73.98267038734572
"10003","New York","NY","Cooper Triangle","Cooper Sq","10003",40.72878729696505,-73.99077415466309
"10003","New York","NY","East Midtown Plaza","379 1st Ave","10010",40.737941478287574,-73.97990584373474
"10003","New York","NY","Peter's Field","301 E 21st St","10010",40.736122890198466,-73.98169494615347
"10003","New York","NY","The Fence Outside Gramercy Park","Gramercy Park N & S","10003",40.73771679224286,-73.98663064457496
"10003","New York","NY","11th Street Community Garden","422 E 11th St","not_available",40.728694915771484,-73.98294067382812
"10003","New York","NY","Creative Little Garden","530 E 6th St","10009",40.724762131182715,-73.98247982553104
"10003","New York","NY","Mercer Street Park","194 Mercer St","10012",40.729254429768424,-73.99344262825535
"10003","New York","NY","Abe Lincoln In Union Square Park","not_available","10003",40.73624791623462,-73.98938762822706
"10003","New York","NY","Mannahatta Habitat: Forest","11th Street","10003",40.730737,-73.987026
"10003","New York","NY","Washington Sq Park Christmas Tree","not_available","10012",40.730499,-73.99604
"10003","New York","NY","Winner's Circle Garden","not_available","10009",40.723277,-73.98244
"10004","New York","NY","Brooklyn Bridge Park","Main St","11201",40.702282,-73.996456
"10004","New York","NY","Brooklyn Bridge Park - Pier 6","Pier 6","11201",40.693288713137854,-74.00277972221375
