"zip","city","state","name","address","postalCode","lat","lon"
"97002","Aurora","OR","Willamette River Water Treatment Plant and Park","not_available","97070",45.2966781210112,-122.78402591522848
"97002","Aurora","OR","Murase Memorial Park","7910 SW Wilsonville Rd","97070",45.30141231205075,-122.75898773911224
"97002","Aurora","OR","Boones Ferry Park","31240 SW Boones Ferry Rd","97070",45.293937,-122.774492
"97002","Aurora","OR","Aurora City Park","not_available","not_available",45.22510113743076,-122.75472643410012
"97002","Aurora","OR","Rivenes Park","2600 D St","97032",45.183128356933594,-122.80864715576172
"97002","Aurora","OR","French Prairie Park","not_available","97002",45.279167,-122.814295
"97002","Aurora","OR","Wait Park","not_available","97013",45.25955603,-122.73614174
"97005","Beaverton","OR","Commonwealth Lake Park","Commonwealth Lake Park","97005",45.513371,-122.806063
"97005","Beaverton","OR","Forest Hills Park","Forest Hills Park","97006",45.5123623465178,-122.79163456165463
"97005","Beaverton","OR","Beaverton City Park","SW 4th St.","97005",45.48394747380018,-122.8055794190284
"97005","Beaverton","OR","Evelyn Schiffler Memorial Park","not_available","97005",45.478382354284726,-122.81527061384107
"97005","Beaverton","OR","Center Street Park","11895 SW Center St","97005",45.494549,-122.798778
"97005","Beaverton","OR","Beaverton Memorial Park","SW 7th and SW Watson Ave","not_available",45.48288214044775,-122.80608171843495
"97005","Beaverton","OR","Wanda L. Peck Park","Wanda L. Peck Park","97005",45.51298841070475,-122.81911657780311
"97005","Beaverton","OR","A.M. KENNEDY PARK","10201-10299 SW Kennedy St","97005",45.48910760539081,-122.78166117168075
"97005","Beaverton","OR","Eichler Park","4665 SW Menlo Dr","97005",45.486365126164486,-122.81815767288208
"97005","Beaverton","OR","Griffith Park","4915 SW Griffith Dr","97005",45.483709000000005,-122.795878
"97005","Beaverton","OR","Pioneer Park","Pioneer Park","97005",45.5217752057871,-122.82587187729256
"97005","Beaverton","OR","Mitchell Park","not_available","97229",45.52095961764392,-122.77477175663488
"97005","Beaverton","OR","Mia Hamm Courtyard","not_available","97006",45.507467109262116,-122.82456853957031
"97005","Beaverton","OR","Peterkort Park","not_available","97225",45.51794959667429,-122.79084202195654
"97005","Beaverton","OR","Foothills Park","Foothills Park","97005",45.511955988948635,-122.80450982655444
"97005","Beaverton","OR","McMillan Park","4870-4998 SW Chestnut Pl","97005",45.48445729602342,-122.776987545482
"97005","Beaverton","OR","Ridgewood Park","9557-9579 SW Wilshire St","97225",45.50598,-122.776455
"97005","Beaverton","OR","Roxbury Park","2301 Sw Roxbury Ave","97225",45.502700720934264,-122.78744276717173
"97005","Beaverton","OR","Roy E. Dancer Park","not_available","97008",45.475564173661844,-122.82697804432375
"97006","Beaverton","OR","Tualatin Hills Nature Park","15655 SW Millikan Way","97003",45.49835431479486,-122.83968587837272
"97006","Beaverton","OR","Tualatin Hills Park & Aquatic Center","15707 SW Walker Rd","97006",45.52005018865882,-122.83742438711417
"97006","Beaverton","OR","Amberglen Park","NW Amberglen Parkway","97006",45.53007215634515,-122.88302421569824
"97006","Beaverton","OR","Beaverton Creek Wetlands Park","SW 153rd Drive and SW TV Hwy","97006",45.493269816516715,-122.8374850101188
"97006","Beaverton","OR","THPRD Tennis Center","walker rd","97005",45.51850485822382,-122.83761004400168
"97006","Beaverton","OR","Reedville Creek Park","Reedville Creek Park","97123",45.50878810015319,-122.89580974154322
"97006","Beaverton","OR","Waterhouse Park","16478-16514 SW Estuary Dr","97006",45.51631414798107,-122.8457690487116
"97006","Beaverton","OR","Waterhouse Park","227-499 NW Island Cir","97006",45.522060565938695,-122.84082416134457
"97006","Beaverton","OR","Autumn Ridge Park","Autumn Ridge Park","97006",45.52941403650351,-122.85772960139958
"97006","Beaverton","OR","Dwight S. Parr Park","16000 SW Regatta Ln","97006",45.516517639160156,-122.84223937988281
"97006","Beaverton","OR","George W. Otten Park","NW Laidlaw Rd","97006",45.550515225880574,-122.85404422473083
"97006","Beaverton","OR","Somerset West Park","18234-18298 NW Park View Blvd","97229",45.545020831936974,-122.86735822501954
"97006","Beaverton","OR","Willow Creek Nature Park","Willow Creek Nature Pa","97006",45.52813976556813,-122.84211183124638
"97006","Beaverton","OR","Oak Hills Greenbelt","15115 NW Oakmont Loop","97006",45.537636,-122.83288
"97006","Beaverton","OR","Arnold Park","not_available","97007",45.48951194028628,-122.86396678443349
"97006","Beaverton","OR","White Fox Park","Oak Hills","97006",45.532622,-122.838977
"97007","Beaverton","OR","Cooper Mountain Nature Park","18992 SW Kemmer Rd","not_available",45.45328677997142,-122.87322979311016
"97007","Beaverton","OR","Hazeldale Park","Hazeldale Park","97007",45.47339176237934,-122.87617852926691
"97007","Beaverton","OR","Jenkins Estate","8005 SW Grabhorn Rd","97007",45.46086596083081,-122.89148838515585
"97007","Beaverton","OR","Rivendale Park","20940 SW Farmington Rd","97007",45.45948758452342,-122.88944264456126
"97007","Beaverton","OR","Buckskin mini-park","Sw buckskin ter","97008",45.45026227248587,-122.817063331604
"97007","Beaverton","OR","Burntwood Park","SW Burntwood Way","not_available",45.47207387905577,-122.84263284030006
"97007","Beaverton","OR","Northridge Park","sw 191st ave","97007",45.461002820271425,-122.87323920652861
"97007","Beaverton","OR","Northview Park","not_available","97223",45.43065225635424,-122.82326058305871
"97007","Beaverton","OR","Mt. Williams Park","6500 SW 160th Ave","97007",45.472111453827004,-122.8426319420894
"97007","Beaverton","OR","Eagle Landing Park","not_available","97123",45.413518,-122.937312
"97007","Beaverton","OR","Burnsridge Park","Burnsridge Park","97006",45.47194128617837,-122.86560979007132
"97008","Beaverton","OR","Greenway Park","SW Murphy & Parkview","97008",45.45491492221886,-122.79754570008807
"97008","Beaverton","OR","Fanno Creek Park & Trail","Denney Rd.","97008",45.469096860708405,-122.7899194122824
"97008","Beaverton","OR","Greenway Park","Near 217","not_available",45.46869519578692,-122.79029508364515
"97009","Boring","OR","Dodge Park","10991 SE Lusted Rd","not_available",45.44474191096096,-122.25231742211065
"97009","Boring","OR","Meinig Memorial Park","17670 Meinig Ave","97055",45.394411,-122.258976
"97009","Boring","OR","Timberline Meat","38525 Proctor Blvd","97055",45.39754507,-122.26681487
"97009","Boring","OR","Boring Station Trailhead Park","not_available","97009",45.431419648480095,-122.37519742507072
"97009","Boring","OR","Doublecreek Park","not_available","97055",45.394465,-122.279567
"97009","Boring","OR","Sandy Bluff Park","36801 Goldenrain St","97055",45.41015,-122.28451799999999
"97009","Boring","OR","Tupper Park","17815 Tupper Rd","97055",45.39459991455078,-122.26481628417969
"97013","Canby","OR","Canby Community Park","1348 SW Berg Pkwy","97013",45.251243591308594,-122.70214080810547
"97013","Canby","OR","Fryer Park","not_available","97038",45.15389783333333,-122.5817646
"97013","Canby","OR","Wait Park","301-399 N Holly St","97013",45.264216,-122.695661
"97014","Cascade Locks","OR","Sailboard Park","not_available","98648",45.694571,-121.87799
"97014","Cascade Locks","OR","Historic Columbia River Highway State Trail","Wa Na Pa","not_available",45.66225658201207,-121.89836079927383
"97014","Cascade Locks","OR","Robbins Island Picnic Shelter","not_available","97014",45.64336118105255,-121.95185431878109
"97015","Clackamas","OR","Windswept Waters Park","16339 SE Slate St","97089",45.4038449897445,-122.50367142937506
"97015","Clackamas","OR","Hidden Falls Nature Park","not_available","97015",45.418644,-122.49999
