"zip","city","state","name","address","postalCode","lat","lon"
"37010","Adams","TN","Port Royal State Historic Park","3300 Old Clarksville Spgfld Rd","37010",36.55318069458008,-87.14501953125
"37010","Adams","TN","Coldstream Christian Camp","not_available","37010",36.53942108154297,-87.09213256835938
"37013","Antioch","TN","Orchard Bend Park At Mill Creek","not_available","37013",36.028156,-86.671708
"37013","Antioch","TN","Seven Oaks Park","McGavock Pike","37217",36.109135062681105,-86.69837435905681
"37013","Antioch","TN","Owl Creek Park","9751 Concord Road","37027",35.98619026929539,-86.70865582786722
"37013","Antioch","TN","Anderson Rd. Recreation Area","4010 Anderson Rd","37217",36.10838682794756,-86.59195829347043
"37013","Antioch","TN","Cane Ridge Park","419 Battle Rd","37013",35.98822877611429,-86.62097889453972
"37013","Antioch","TN","William Pitts Park","not_available","37211",36.057998947772006,-86.70641973540047
"37013","Antioch","TN","Hamilton Creek Park","Heterodox View Ave","37217",36.104233454621664,-86.62419360192865
"37013","Antioch","TN","Veteran Memorial Park","Floyd Mayfied Dr","37086",36.021174006219425,-86.56241790749802
"37013","Antioch","TN","Hamilton Creek Mountain Bike Trails","Bell Rd.","not_available",36.10408548531634,-86.62459234889195
"37013","Antioch","TN","Mill Park","5170 Hickory Hollow Pkwy","37013",36.05154629387401,-86.66357029433252
"37013","Antioch","TN","Burkitt Forest","Burkitt Place","37135",35.98969346194192,-86.67325463506688
"37013","Antioch","TN","Signature's Parking Lot","not_available","not_available",36.086039,-86.690293
"37013","Antioch","TN","local@biztraffic.com","not_available","37217",36.092792522430955,-86.64309853784698
"37013","Antioch","TN","Owl Creek Park","not_available","37027",35.98826667346027,-86.70135743515226
"37013","Antioch","TN","Music City BMX","Bell Road","not_available",36.10609395054619,-86.62332225476015
"37013","Antioch","TN","Providence Park","4145 Partner Way","37211",36.092653000000006,-86.708478
"37013","Antioch","TN","Ezell Park","5135 Harding Pl","37211",36.08818435668945,-86.68106842041016
"37013","Antioch","TN","Percy Priest Woods","3248-3275 Priest Woods Dr","37214",36.12728677184386,-86.63535930775403
"37013","Antioch","TN","7 Points","Stewarts Ferry Pike","37122",36.12857347852474,-86.56550334859021
"37014","Arrington","TN","Gregory Mill Park","Enon Springs Rd.","37167",35.890953886506146,-86.57542376095401
"37015","Ashland City","TN","Riverbluff Park","not_available","37015",36.27033866381555,-87.07102868077936
"37015","Ashland City","TN","Bell's Bend Nature Center","4187 Old Hickory Blvd","37218",36.15577697753906,-86.92318725585938
"37015","Ashland City","TN","Pleasant View Community Park","Pleasant View Community Park","37146",36.39378944436183,-87.03693151473999
"37020","Bell Buckle","TN","Bell Buckle Park","not_available","37020",35.593972401398496,-86.35711311048075
"37022","Bethpage","TN","Taylor Hollow","not_available","37186",36.521847,-86.23325
"37022","Bethpage","TN","Ricky Woodard Community Park","Park Street","37186",36.558865352088475,-86.24847396486345
"37025","Bon Aqua","TN","Buford P McCord Park","not_available","37098",35.92907079748075,-87.30989572778829
"37027","Brentwood","TN","Percy Warner Park","1299 Belle Meade Blvd","37221",36.06199700002553,-86.86885362444255
"37027","Brentwood","TN","Deerwood Arboretum & Natural Area","314 Deerwood Ln","37027",36.03560256958008,-86.84174346923828
"37027","Brentwood","TN","The Park at Harlinsdale Farm","239 Franklin Rd","37064",35.935673910660675,-86.86498722163653
"37027","Brentwood","TN","River Park","1100 Knox Valley Dr","37027",35.99537741246091,-86.78746461868286
