"zip","city","state","name","address","postalCode","lat","lon"
"53002","Allenton","WI","Allenton park","not_available","53002",43.420231504029736,-88.33634456606498
"53002","Allenton","WI","Lomira  Firemans Picnic","not_available","not_available",43.506367499999996,-88.3560857
"53003","Ashippun","WI","Ashippun Fireman Park","not_available","53003",43.21525042389925,-88.52618598424144
"53004","Belgium","WI","Waubedonia Park","963 Fredonia Ave","53021",43.469955330470015,-87.95232270997056
"53004","Belgium","WI","Forest Beach Migratory Preserve","4970 Country Club Beach Rd.","53074",43.45650095868627,-87.8110445956951
"53004","Belgium","WI","Fredonia Firemans Park","not_available","53021",43.46992059788361,-87.9523609143102
"53004","Belgium","WI","Village of Belgium Community Park","Main St","53004",43.49975628978046,-87.85024166107178
"53004","Belgium","WI","heritage park","not_available","53004",43.49412536621094,-87.85962677001953
"53005","Brookfield","WI","Endicott Park","Brookfield, WI 53045","53045",43.027649098901854,-88.12854054229848
"53005","Brookfield","WI","Elm Grove Village Park","13600 Juneau Blvd","53122",43.04891496852778,-88.08302719368692
"53005","Brookfield","WI","Wirth Park","2585 Pilgrim Road","53222",43.064655231773614,-88.1088924407959
"53005","Brookfield","WI","Lamplighter Park","3380 Burlawn Pkwy","53005",43.078523454149675,-88.07810917589732
"53005","Brookfield","WI","Three Meadows Park","Round the bend","not_available",43.101122196624495,-88.1163615718884
"53005","Brookfield","WI","Dousman Stagecoach Inn","1075 Pilgrim Road","53005",43.04310092168599,-88.10611878822303
"53005","Brookfield","WI","Lilly Heights Park","1412d Lilly Heights Drive","not_available",43.09513175101668,-88.08786497954365
"53005","Brookfield","WI","Mary Knoll Park","615 S Sunnyslope Rd","53005",43.0239546502394,-88.09250665622903
"53005","Brookfield","WI","Wirth Park South","not_available","53005",43.063980666187675,-88.11096834668444
"53005","Brookfield","WI","Krueger Park","W Golf Pkwy","53005",43.03067622086085,-88.07126926029268
"53005","Brookfield","WI","Kinsey Park","Kinsey Park Drive","53005",43.02318049376642,-88.0767468667266
"53005","Brookfield","WI","valley view soccer field #4","sunny slope rd","not_available",43.025851249694824,-88.08674275875092
"53007","Butler","WI","Butler Frontier Park","13015 W Custer Ave","53007",43.1116837313192,-88.06946520953699
"53010","Campbellsport","WI","Kettle Moraine State Forest","not_available","53010",43.60755435949913,-88.16437349424382
"53010","Campbellsport","WI","Columbus Parc","101-199 Columbus Parc Ct","53010",43.59623085631085,-88.2691360616441
"53010","Campbellsport","WI","Kewaskum Kiwanis Park","Brooklane Dr","53040",43.51902257127061,-88.23892593383789
"53010","Campbellsport","WI","Kewaskum Fireman's Picnic","not_available","53040",43.518458,-88.220846
"53010","Campbellsport","WI","Eden Community Park","200 Reagan Dr","53019",43.687705993652344,-88.3608627319336
"53010","Campbellsport","WI","Dundee Mill & Park","County Road F","53010",43.64953088137128,-88.17755430936813
"53011","Cascade","WI","Nichols Creek State Wildlife Area","County Rd N","53073",43.68658762320971,-88.03426265716553
"53012","Cedarburg","WI","Cedar Creek Park","not_available","53012",43.29531566945749,-87.98398452544743
"53012","Cedarburg","WI","Centennial Park","1800 Cedar St","53024",43.3176326298921,-87.94382213016382
