"zip","city","state","name","address","postalCode","lat","lon"
"82001","Cheyenne","WY","Holliday park","1001 E 19th St","82001",41.137662573158806,-104.80079686732087
"82001","Cheyenne","WY","Lions Park","4805-4875 Central Ave","not_available",41.15331897385693,-104.82665448373173
"82001","Cheyenne","WY","Frontier Park","not_available","82001",41.15508748854954,-104.83563754147056
"82001","Cheyenne","WY","Sunrise Park","12th Street","82001",41.13659427408427,-104.74481046705394
"82001","Cheyenne","WY","Archer Fairgrounds","not_available","not_available",41.030501,-104.782684
"82001","Cheyenne","WY","Pando Park","100-198 E 29th St","82001",41.14529305370644,-104.8210574324274
"82001","Cheyenne","WY","Martin Luther King Jr Park","1101-1199 Martin Luther King Dr","82001",41.13016840384737,-104.82699646890161
"82001","Cheyenne","WY","Lions Park/Botanic Gardens","Yellowstone & Central Ave","82001",41.15929088741764,-104.83106614963195
"82001","Cheyenne","WY","North Park","181-289 Southwest Dr","82007",41.12087114,-104.84082245
"82001","Cheyenne","WY","David R Romero Park","1600-1698 Van Tassel Dr","82007",41.12398986102619,-104.82554873678477
"82001","Cheyenne","WY","Civic Commons Park","W. 21 Street and Bent Avenue","82001",41.134884,-104.82291
"82001","Cheyenne","WY","Clear Creek Park","291-499 Southwest Dr","82007",41.1180172970701,-104.84246067670156
"82009","Cheyenne","WY","North Park","not_available","82009",41.17992650217384,-104.77316010930886
"82070","Laramie","WY","Washington Park","Sheridan St.","82070",41.306828739330705,-105.57020233712984
"82070","Laramie","WY","Undine Park","Undine Park","82070",41.30511796410961,-105.59020042419434
"82070","Laramie","WY","Kiowa Park","not_available","82072",41.323277,-105.544379
"82070","Laramie","WY","Laramie Barnstormers, Stark Field","2 miles north of Laramie on 287/30","82070",41.366528,-105.587776
"82070","Laramie","WY","City Park","9th and Ivinson","82071",41.31180705343441,-105.58459997177124
"82070","Laramie","WY","St Mathews Episcopal Church Courtyard","not_available","82070",41.31183624267578,-105.59334564208984
"82070","Laramie","WY","O'Dell City Park","Albin & Mill","82070",41.32772,-105.58971
"82070","Laramie","WY","Harbon Park","N 14th St","82072",41.31808377503092,-105.57867592269015
"82070","Laramie","WY","Fraternity Mall","1501-1639 Sorority Row","82072",41.31171416069979,-105.5757158471504
"82070","Laramie","WY","La Bonte Park","5th and Canby","82072",41.32420286069421,-105.58980238259903
"82070","Laramie","WY","Vedeuwoo Back","Vedauwoo Glen Rd","82009",41.181392697644114,-105.31168073980456
"82070","Laramie","WY","Ivinson mansion","603 E Ivinson St","82070",41.31222709140413,-105.58902226088512
"82082","Pine Bluffs","WY","Texas Trail Park","not_available","82082",41.190272097616244,-104.00359872977059
"82082","Pine Bluffs","WY","Longhorn Lane","not_available","82221",41.585819,-104.248238
"82190","Yellowstone National Park","WY","Yellowstone General Store","Old Faithful Blvd.","not_available",44.45690069700783,-110.82776970812841
"82190","Yellowstone National Park","WY","Lamar Buffalo Ranch","not_available","82190",44.895458,-110.235788
"82201","Wheatland","WY","Chugwater Town Park","not_available","82210",41.75809420403287,-104.82411811699278
"82212","Fort Laramie","WY","Whipple Park","not_available","82223",42.137073046149894,-104.35128780800366
"82240","Torrington","WY","Jirdon Park","E. F St.","82240",42.069557198449495,-104.17652606964111
"82301","Rawlins","WY","Pathfinder National Wildlife Refuge","not_available","82620",42.54952293022635,-107.0808576125046
"82301","Rawlins","WY","Washington park","Cherry street","82301",41.7924952222099,-107.25151580943069
"82301","Rawlins","WY","The Parco Inn","not_available","82334",41.779816,-107.123241
"82336","Wamsutter","WY","Huddart County Park","1100 King mountain road","not_available",41.64304716375729,-108.20636850316934
"82401","Worland","WY","Sanders Park","1000-1098 Obie Sue Ave","82401",44.012792697334305,-107.95405926279685
"82414","Cody","WY","Beck Lake","not_available","82414",44.5112205531093,-109.05263923538031
"82414","Cody","WY","Park","Park","not_available",44.678104400634766,-109.45777893066406
"82414","Cody","WY","Glendale Park","Meadowlane","82414",44.516894,-109.058083
"82414","Cody","WY","City Park","908 Sheridan Avenue","82414",44.52557186020033,-109.06896888396432
"82414","Cody","WY","Park County Complex","1501 Stampede Ave","82414",44.52006530761719,-109.05857849121094
"82426","Greybull","WY","Cloud Peak Wilderness Registration","not_available","82432",44.546444,-107.499352
